name,pop_2015
ABRA,241160
AGUSAN DEL NORTE,691566
AGUSAN DEL SUR,700653
AKLAN,574823
ALBAY,1314826
ANTIQUE,582012
APAYAO,119184
AURORA,214336
BASILAN,459367
BATAAN,760650
BATANES,17246
BATANGAS,2694335
BENGUET,791590
BILIRAN,171612
BOHOL,1313560
BUKIDNON,1415226
BULACAN,3292071
CAGAYAN,1199320
CAMARINES NORTE,583313
CAMARINES SUR,1952544
CAMIGUIN,88478
CAPIZ,761384
CATANDUANES,260964
CAVITE,3678301
CEBU PROVINCE,4632359
COTABATO,1379747
DAVAO DEL NORTE,1016332
COMPOSTELA VALLEY,736107
DAVAO DEL SUR,2265579
DAVAO OCCIDENTAL,316342
DAVAO ORIENTAL,558958
DINAGAT ISLANDS,127152
EASTERN SAMAR,467160
GUIMARAS,174613
IFUGAO,202802
ILOCOS NORTE,593081
ILOCOS SUR,689668
ILOILO PROVINCE,2384415
ISABELA,1593566
KALINGA,212680
LA UNION,786653
LAGUNA,3035081
LANAO DEL NORTE,1019013
LANAO DEL SUR,1045429
LEYTE,1966768
MAGUINDANAO,1473371
MARINDUQUE,234521
MASBATE,892393
MISAMIS OCCIDENTAL,602126
MISAMIS ORIENTAL,1564459
MOUNTAIN PROVINCE,154590
NEGROS OCCIDENTAL,3059136
NEGROS ORIENTAL,1354995
NORTHERN SAMAR,632379
NUEVA ECIJA,2151461
NUEVA VIZCAYA,452287
OCCIDENTAL MINDORO,487414
ORIENTAL MINDORO,844059
PALAWAN,1104585
PAMPANGA,2609744
PANGASINAN,2956726
QUEZON,2122830
QUIRINO,188991
RIZAL,2884227
ROMBLON,292781
SAMAR,780481
SARANGANI,544261
SIQUIJOR,95984
SORSOGON,792949
SOUTH COTABATO,1509735
SOUTHERN LEYTE,421750
SULTAN KUDARAT,812095
SULU,824731
SURIGAO DEL NORTE,485088
SURIGAO DEL SUR,592250
TARLAC PROVINCE,1366027
TAWI-TAWI,390715
ZAMBALES,823888
ZAMBOANGA DEL NORTE,1011393
ZAMBOANGA DEL SUR,1872473
ZAMBOANGA SIBUGAY,633129
METRO MANILA,12877253
PHILIPPINES,100981437
